pair,entry,exit,sign,ret
AUDUSD,2011-03-16,2011-04-05,1,0.057271734037719096
USDCAD,2011-03-16,2011-04-05,-1,0.026124040905613242
USDCHF,2011-03-16,2011-04-05,1,0.022338612969186756
NZDUSD,2011-03-16,2011-04-05,1,0.062180181732366106
USDCAD,2011-05-05,2011-05-25,-1,-0.010986774952884158
AUDUSD,2011-05-05,2011-05-25,1,-0.004052943854828347
NZDUSD,2011-05-05,2011-05-25,1,0.013487827459034995
EURUSD,2011-05-06,2011-05-26,1,-0.017092252126821625
USDCHF,2011-05-27,2011-06-16,1,0.00348738245250327
USDCHF,2011-07-13,2011-08-02,1,-0.03182729060113185
USDCHF,2011-08-02,2011-08-22,1,0.026872594239205416
AUDUSD,2011-08-04,2011-08-24,1,0.008892428087175228
USDJPY,2011-08-04,2011-08-24,-1,0.03137215803837262
NZDUSD,2011-08-04,2011-08-24,1,0.004797724197844806
EURUSD,2011-09-09,2011-09-29,1,-0.009137131819416701
USDCAD,2011-09-21,2011-10-11,-1,-0.01902805055770375
AUDUSD,2011-09-22,2011-10-12,1,0.015476122572233644
GBPUSD,2011-09-22,2011-10-12,1,0.01277724679142898
EURUSD,2011-11-01,2011-11-21,1,-0.008175123799107772
NZDUSD,2011-11-02,2011-11-22,1,-0.04237251096285673
GBPUSD,2011-11-25,2011-12-15,1,0.0026180498926826894
USDJPY,2011-12-31,2012-01-20,1,0.0025644263986762212
EURUSD,2012-01-08,2012-01-28,1,0.04210157424805702
USDCHF,2012-01-27,2012-02-16,1,0.013408235409235525
USDJPY,2012-01-30,2012-02-19,1,0.040614916856017674
USDJPY,2012-02-19,2012-03-10,-1,-0.03245938859323454
NZDUSD,2012-03-06,2012-03-26,1,0.007060771273095599
AUDUSD,2012-03-06,2012-03-26,1,-0.005310451327418531
USDCAD,2012-03-06,2012-03-26,-1,0.005030055848411284
NZDUSD,2012-05-04,2012-05-24,1,-0.059447780171477546
AUDUSD,2012-05-04,2012-05-24,1,-0.044559017590819185
EURUSD,2012-05-06,2012-05-26,1,-0.03503220681025091
GBPUSD,2012-05-17,2012-06-06,1,-0.02543893692687876
