quantile,min_value,cost_bps_side,gross_sharpe,net_sharpe,net_sum
0.05,500000000.0,2.0,3.535,2.704,1.5476
0.05,500000000.0,3.0,3.535,2.289,1.3098
0.05,500000000.0,5.0,3.535,1.458,0.8342
0.1,500000000.0,2.0,3.233,2.08,0.8582
0.1,500000000.0,3.0,3.233,1.504,0.6204
0.1,500000000.0,5.0,3.233,0.351,0.1448
0.15,500000000.0,2.0,3.28,1.909,0.6625
0.15,500000000.0,3.0,3.28,1.224,0.4247
0.15,500000000.0,5.0,3.28,-0.147,-0.0509
0.2,500000000.0,2.0,3.192,1.63,0.4965
0.2,500000000.0,3.0,3.192,0.849,0.2587
0.2,500000000.0,5.0,3.192,-0.712,-0.2169
0.05,2000000000.0,2.0,2.331,1.721,1.3431
0.05,2000000000.0,3.0,2.331,1.417,1.1053
0.05,2000000000.0,5.0,2.331,0.807,0.6297
0.1,2000000000.0,2.0,2.305,1.409,0.7487
0.1,2000000000.0,3.0,2.305,0.962,0.5109
0.1,2000000000.0,5.0,2.305,0.066,0.0353
0.15,2000000000.0,2.0,2.269,1.163,0.5001
0.15,2000000000.0,3.0,2.269,0.61,0.2623
0.15,2000000000.0,5.0,2.269,-0.496,-0.2133
0.2,2000000000.0,2.0,2.406,1.136,0.4255
0.2,2000000000.0,3.0,2.406,0.501,0.1877
0.2,2000000000.0,5.0,2.406,-0.769,-0.2879
