fold,feature,coefficient
0,reversal_1,-0.0014551662456544082
0,momentum_5,-0.00017728715516648297
0,momentum_15,0.0010477006808305481
0,volatility_15,6.954281346131314e-05
0,vwap_deviation,-0.002295635183172215
0,volume_shock,9.487538192452444e-06
0,range_position,-1.4398547610817174e-05
0,market_return_1,-2.0282863098753664e-05
0,minute_sin,-2.4541173310647762e-06
0,minute_cos,1.6997868368813275e-06
1,reversal_1,-0.0012577496067868105
1,momentum_5,0.0003460726743010786
1,momentum_15,0.0018430358567722946
1,volatility_15,9.435699527770001e-05
1,vwap_deviation,-0.0033691399506584827
1,volume_shock,9.785069686255342e-06
1,range_position,-2.6156941198372608e-05
1,market_return_1,0.0001600561383390827
1,minute_sin,-2.2952224522359056e-06
1,minute_cos,1.8933325883138714e-06
2,reversal_1,-0.0027339156906831716
2,momentum_5,-0.000258770400599236
2,momentum_15,0.0030148977073368587
2,volatility_15,0.0001329856976163471
2,vwap_deviation,-0.005365714680509298
2,volume_shock,9.871532664046698e-06
2,range_position,-3.0893327489973105e-05
2,market_return_1,0.00017685938562400454
2,minute_sin,-2.440623152024405e-06
2,minute_cos,2.6141039974533427e-06
