fold,feature,coefficient
0,reversal_1,-0.0016346208905360473
0,momentum_5,-0.0005009535022963035
0,momentum_15,0.0015244566749398787
0,volatility_15,7.648387783211836e-05
0,vwap_deviation,-0.0026003320766742073
0,volume_shock,8.417219552159963e-06
0,range_position,-1.4485100627089302e-05
0,market_return_1,0.00018366472114530202
0,minute_sin,-3.196950286965604e-06
0,minute_cos,3.035484024599627e-07
1,reversal_1,-0.0011192395463131902
1,momentum_5,0.0010064743524824656
1,momentum_15,0.002401542591877976
1,volatility_15,0.00011111688676159877
1,vwap_deviation,-0.004438561815474874
1,volume_shock,7.812399629330203e-06
1,range_position,-2.185994975092298e-05
1,market_return_1,0.0003622599271725401
1,minute_sin,-2.9981270109537448e-06
1,minute_cos,2.2233993369827182e-07
2,reversal_1,-0.002984200602461669
2,momentum_5,-0.000632956423007835
2,momentum_15,0.003138886669496638
2,volatility_15,0.0001376215520381858
2,vwap_deviation,-0.005332329788937179
2,volume_shock,9.748936333506959e-06
2,range_position,-2.720555634769535e-05
2,market_return_1,0.0002745367836783498
2,minute_sin,-2.3947130249799578e-06
2,minute_cos,3.2182899433011797e-06
