fold,feature,coefficient
0,reversal_1,-0.0013715746051153118
0,momentum_5,-0.0010639599320694895
0,momentum_15,-0.000297853453770262
0,volatility_15,7.570067717732063e-05
0,vwap_deviation,6.815159048117893e-05
0,volume_shock,2.6529431067643447e-05
0,range_position,-8.526652747948673e-05
0,market_return_1,-9.183649325961762e-05
0,minute_sin,2.9406083797557286e-06
0,minute_cos,-6.947053835108422e-06
1,reversal_1,-0.001027104758274324
1,momentum_5,-0.0009843677356271947
1,momentum_15,-6.606079389759368e-05
1,volatility_15,0.00011740842390255033
1,vwap_deviation,0.0003138334305870389
1,volume_shock,2.9000485802517538e-05
1,range_position,-6.221787376325854e-05
1,market_return_1,-0.0003187844132604017
1,minute_sin,3.3671249072499367e-06
1,minute_cos,-8.080903284065495e-06
2,reversal_1,-0.0002558793001853232
2,momentum_5,-5.510229430430573e-05
2,momentum_15,-0.00020183077019514639
2,volatility_15,0.00011743870931680302
2,vwap_deviation,1.8900217184676197e-07
2,volume_shock,2.4050170838384226e-05
2,range_position,-9.402766404437484e-05
2,market_return_1,-0.0003099435691771224
2,minute_sin,2.787683328208467e-06
2,minute_cos,-4.998251011673002e-06
