fold,feature,coefficient
0,reversal_1,-0.0013760048557364495
0,momentum_5,-0.0010693695340035687
0,momentum_15,-0.00029659371567786056
0,volatility_15,7.568204567485818e-05
0,vwap_deviation,6.772736867994115e-05
0,volume_shock,2.653329659517524e-05
0,range_position,-8.527556615367757e-05
0,market_return_1,-9.198534379445672e-05
0,minute_sin,2.9412975261152734e-06
0,minute_cos,-6.94826558333007e-06
1,reversal_1,-0.0010231438248233364
1,momentum_5,-0.00097894724523875
1,momentum_15,-6.772354336524164e-05
1,volatility_15,0.0001173996788434718
1,vwap_deviation,0.00031399867047063394
1,volume_shock,2.899564127131867e-05
1,range_position,-6.221040609756572e-05
1,market_return_1,-0.0003186545505502184
1,minute_sin,3.3668256625425596e-06
1,minute_cos,-8.079391634899932e-06
2,reversal_1,-0.0002558793001853232
2,momentum_5,-5.510229430430573e-05
2,momentum_15,-0.00020183077019514639
2,volatility_15,0.00011743870931680302
2,vwap_deviation,1.8900217184676197e-07
2,volume_shock,2.4050170838384226e-05
2,range_position,-9.402766404437484e-05
2,market_return_1,-0.0003099435691771224
2,minute_sin,2.787683328208467e-06
2,minute_cos,-4.998251011673002e-06
