symbol,known_at,shares
1301,2021-05-14,10757509.0
1301,2021-08-06,10757602.0
1301,2021-11-05,10757816.0
1301,2022-02-04,10757804.0
1301,2022-05-13,10757760.0
1301,2022-08-05,10740655.0
1301,2022-11-04,10716690.0
1301,2023-02-03,10716644.0
1301,2023-05-12,10716628.0
1301,2023-08-04,10716607.0
1301,2023-11-06,10727546.0
1301,2024-02-02,10727509.0
1301,2024-05-10,11877508.0
1301,2024-08-05,11877517.0
1301,2024-11-06,11877431.0
1301,2025-02-03,11877431.0
1301,2025-05-12,11877431.0
1301,2025-08-04,11877377.0
1301,2025-11-04,11877339.0
1301,2026-02-06,11877286.0
1332,2021-05-13,311133890.0
1332,2021-08-04,311133114.0
1332,2021-11-05,311239109.0
1332,2022-02-04,311237702.0
1332,2022-05-12,311236484.0
1332,2022-08-04,311235909.0
1332,2022-11-02,311234851.0
1332,2023-02-03,311234548.0
1332,2023-05-12,311233449.0
1332,2023-08-04,311232635.0
1332,2023-11-06,311231754.0
1332,2024-02-06,310830751.0
1332,2024-05-14,310829551.0
1332,2024-08-06,310828556.0
1332,2024-11-06,310824843.0
1332,2025-02-07,310823903.0
1332,2025-05-14,310822946.0
1332,2025-08-05,310822511.0
1332,2025-11-06,303273031.0
1332,2026-02-06,303272679.0
1333,2021-05-10,52622152.0
1333,2021-08-10,52621804.0
1333,2021-11-08,52621195.0
1333,2022-02-07,52620826.0
1333,2022-05-09,52620521.0
1333,2022-08-08,51759140.0
1333,2022-11-07,50510897.0
1333,2023-02-06,50510611.0
1333,2023-05-08,50450834.0
1333,2023-08-07,50450026.0
1333,2023-11-06,50451957.0
1333,2024-02-05,50363619.0
1333,2024-05-07,50363769.0
1333,2024-06-17,50363769.0
1333,2024-08-05,50366297.0
1333,2024-11-11,50368781.0
1333,2025-02-10,50368903.0
1333,2025-05-12,50369032.0
1333,2025-08-05,50376096.0
1333,2025-11-10,50392483.0
1333,2026-02-09,151179698.0
135A,2024-04-15,10110000.0
135A,2024-07-11,10110000.0
135A,2024-10-15,10110000.0
135A,2025-01-14,10110000.0
135A,2025-04-14,10110000.0
135A,2025-07-14,10110000.0
135A,2025-10-14,10233000.0
135A,2026-01-14,10233000.0
135A,2026-04-14,10256000.0
1375,2021-05-12,39910700.0
1375,2021-08-05,39910700.0
1375,2021-11-04,39910700.0
1375,2022-02-03,39910700.0
1375,2022-05-12,39870700.0
1375,2022-08-04,39870700.0
1375,2022-11-10,39883389.0
1375,2023-02-09,39883389.0
1375,2023-05-11,39883389.0
1375,2023-05-12,39883389.0
1375,2023-08-10,39882630.0
1375,2023-11-09,39895633.0
1375,2024-02-08,39894033.0
1375,2024-05-09,39894033.0
1375,2024-08-08,39894033.0
1375,2024-11-07,39904039.0
1375,2024-11-25,39904039.0
1375,2025-02-06,39904039.0
1375,2025-05-09,39904034.0
1375,2025-08-07,39874034.0
1375,2025-11-06,39882822.0
1375,2026-02-09,39882822.0
1376,2021-07-13,11666078.0
1376,2021-10-06,11666078.0
1376,2022-01-05,11671603.0
1376,2022-04-04,11628739.0
1376,2022-07-12,11574429.0
1376,2022-10-07,11574408.0
1376,2022-10-12,11574408.0
1376,2023-01-05,11574349.0
1376,2023-04-05,11469218.0
1376,2023-07-11,11449808.0
1376,2023-10-06,11449736.0
1376,2024-01-05,11449736.0
1376,2024-04-03,11319736.0
1376,2024-07-10,11299736.0
1376,2024-10-04,11204726.0
1376,2025-01-07,11209226.0
1376,2025-04-04,11184126.0
1376,2025-07-11,11142603.0
1376,2025-10-03,11142603.0
1376,2026-01-07,10966193.0
1376,2026-04-03,10966168.0
1377,2021-07-14,44597014.0
1377,2021-10-13,44436086.0
1377,2022-01-13,44348023.0
1377,2022-04-08,44347866.0
1377,2022-07-13,44347678.0
1377,2022-10-07,44347668.0
1377,2023-01-13,44350338.0
1377,2023-04-10,44350140.0
1377,2023-07-14,44349565.0
1377,2023-10-06,44349513.0
1377,2024-01-12,44349336.0
1377,2024-04-05,44303073.0
1377,2024-07-12,43849214.0
1377,2024-10-04,43849143.0
1377,2025-01-14,43849020.0
1377,2025-04-08,43249655.0
1377,2025-07-14,43249523.0
1377,2025-10-07,43257780.0
1377,2026-01-13,43259717.0
1377,2026-04-07,42259696.0
1379,2021-05-14,31470361.0
1379,2021-08-12,31493947.0
1379,2021-11-12,31530721.0
1379,2022-02-10,31555549.0
1379,2022-05-13,31576931.0
1379,2022-08-10,31598982.0
1379,2022-11-11,31608260.0
1379,2023-02-10,31638110.0
1379,2023-05-12,31660224.0
1379,2023-08-10,31685664.0
1379,2023-11-10,31721678.0
1379,2024-02-09,31724163.0
1379,2024-05-10,31724068.0
1379,2024-08-09,31724068.0
1379,2024-11-14,31724005.0
1379,2025-02-14,31372520.0
1379,2025-05-14,31258443.0
1379,2025-08-08,31282659.0
1379,2025-11-14,31299064.0
1379,2026-02-13,31321464.0
1381,2021-04-23,5615851.0
1381,2021-08-13,5615851.0
1381,2021-10-22,5615851.0
