symbol,effective_from,effective_to
1301,2026-05-29,
1332,2026-05-29,
1333,2026-05-29,
1375,2026-05-29,
1376,2026-05-29,
1377,2026-05-29,
1379,2026-05-29,
1414,2026-05-29,
1417,2026-05-29,
1419,2026-05-29,
1435,2026-05-29,
1514,2026-05-29,
1515,2026-05-29,
1518,2026-05-29,
1605,2026-05-29,
1662,2026-05-29,
1663,2026-05-29,
167A,2026-05-29,
1716,2026-05-29,
1719,2026-05-29,
1720,2026-05-29,
1721,2026-05-29,
1762,2026-05-29,
1766,2026-05-29,
1780,2026-05-29,
1786,2026-05-29,
1801,2026-05-29,
1802,2026-05-29,
1803,2026-05-29,
1808,2026-05-29,
1810,2026-05-29,
1812,2026-05-29,
1813,2026-05-29,
1815,2026-05-29,
1820,2026-05-29,
1822,2026-05-29,
1833,2026-05-29,
1835,2026-05-29,
1852,2026-05-29,
1860,2026-05-29,
1861,2026-05-29,
1870,2026-05-29,
1871,2026-05-29,
1873,2026-05-29,
1878,2026-05-29,
1879,2026-05-29,
1882,2026-05-29,
1885,2026-05-29,
1887,2026-05-29,
1888,2026-05-29,
1893,2026-05-29,
1898,2026-05-29,
1899,2026-05-29,
1911,2026-05-29,
1925,2026-05-29,
1926,2026-05-29,
1928,2026-05-29,
1929,2026-05-29,
1930,2026-05-29,
1934,2026-05-29,
1938,2026-05-29,
1939,2026-05-29,
1941,2026-05-29,
1942,2026-05-29,
1944,2026-05-29,
1945,2026-05-29,
1946,2026-05-29,
1950,2026-05-29,
1951,2026-05-29,
1952,2026-05-29,
1959,2026-05-29,
1961,2026-05-29,
1963,2026-05-29,
1964,2026-05-29,
1968,2026-05-29,
1969,2026-05-29,
1975,2026-05-29,
1976,2026-05-29,
1979,2026-05-29,
1980,2026-05-29,
1982,2026-05-29,
2001,2026-05-29,
2002,2026-05-29,
2003,2026-05-29,
2004,2026-05-29,
2053,2026-05-29,
2060,2026-05-29,
2108,2026-05-29,
2109,2026-05-29,
2117,2026-05-29,
2120,2026-05-29,
2121,2026-05-29,
2124,2026-05-29,
2127,2026-05-29,
212A,2026-05-29,
2130,2026-05-29,
2146,2026-05-29,
2148,2026-05-29,
2153,2026-05-29,
2154,2026-05-29,
2157,2026-05-29,
2168,2026-05-29,
2170,2026-05-29,
2175,2026-05-29,
2181,2026-05-29,
2193,2026-05-29,
2201,2026-05-29,
2204,2026-05-29,
2206,2026-05-29,
2207,2026-05-29,
2209,2026-05-29,
2211,2026-05-29,
2212,2026-05-29,
2217,2026-05-29,
2220,2026-05-29,
2222,2026-05-29,
2229,2026-05-29,
2264,2026-05-29,
2266,2026-05-29,
2267,2026-05-29,
2269,2026-05-29,
2270,2026-05-29,
2281,2026-05-29,
2282,2026-05-29,
2288,2026-05-29,
2292,2026-05-29,
2294,2026-05-29,
2296,2026-05-29,
2301,2026-05-29,
2305,2026-05-29,
2307,2026-05-29,
2317,2026-05-29,
2325,2026-05-29,
2326,2026-05-29,
2327,2026-05-29,
2331,2026-05-29,
2335,2026-05-29,
2337,2026-05-29,
2353,2026-05-29,
2359,2026-05-29,
2371,2026-05-29,
2378,2026-05-29,
2379,2026-05-29,
2384,2026-05-29,
2395,2026-05-29,
2413,2026-05-29,
2429,2026-05-29,
2432,2026-05-29,
2433,2026-05-29,
2440,2026-05-29,
2445,2026-05-29,
2461,2026-05-29,
2462,2026-05-29,
2471,2026-05-29,
2475,2026-05-29,
2477,2026-05-29,
2489,2026-05-29,
2491,2026-05-29,
2492,2026-05-29,
2501,2026-05-29,
2502,2026-05-29,
2503,2026-05-29,
250A,2026-05-29,
2531,2026-05-29,
2533,2026-05-29,
2540,2026-05-29,
256A,2026-05-29,
2579,2026-05-29,
2585,2026-05-29,
2587,2026-05-29,
2590,2026-05-29,
2593,2026-05-29,
2594,2026-05-29,
2602,2026-05-29,
2607,2026-05-29,
2613,2026-05-29,
262A,2026-05-29,
2659,2026-05-29,
2664,2026-05-29,
2670,2026-05-29,
2674,2026-05-29,
2676,2026-05-29,
2678,2026-05-29,
2681,2026-05-29,
2685,2026-05-29,
268A,2026-05-29,
2695,2026-05-29,
2698,2026-05-29,
2726,2026-05-29,
2730,2026-05-29,
2733,2026-05-29,
2734,2026-05-29,
2737,2026-05-29,
2742,2026-05-29,
2749,2026-05-29,
2752,2026-05-29,
2753,2026-05-29,
2760,2026-05-29,
2767,2026-05-29,
2768,2026-05-29,
277A,2026-05-29,
2784,2026-05-29,
2791,2026-05-29,
2792,2026-05-29,
2801,2026-05-29,
2802,2026-05-29,
2804,2026-05-29,
2809,2026-05-29,
2810,2026-05-29,
2811,2026-05-29,
2815,2026-05-29,
2819,2026-05-29,
285A,2026-05-29,
2871,2026-05-29,
2874,2026-05-29,
2875,2026-05-29,
2882,2026-05-29,
2884,2026-05-29,
2897,2026-05-29,
2908,2026-05-29,
2910,2026-05-29,
2914,2026-05-29,
2915,2026-05-29,
2918,2026-05-29,
2922,2026-05-29,
2929,2026-05-29,
2930,2026-05-29,
2931,2026-05-29,
2933,2026-05-29,
2935,2026-05-29,
2975,2026-05-29,
2980,2026-05-29,
3001,2026-05-29,
3002,2026-05-29,
3003,2026-05-29,
3023,2026-05-29,
3028,2026-05-29,
3031,2026-05-29,
3034,2026-05-29,
3036,2026-05-29,
3038,2026-05-29,
3040,2026-05-29,
3046,2026-05-29,
3048,2026-05-29,
3050,2026-05-29,
3053,2026-05-29,
3064,2026-05-29,
3076,2026-05-29,
3086,2026-05-29,
3087,2026-05-29,
3088,2026-05-29,
3091,2026-05-29,
3092,2026-05-29,
3093,2026-05-29,
3097,2026-05-29,
3099,2026-05-29,
3101,2026-05-29,
3103,2026-05-29,
3104,2026-05-29,
3105,2026-05-29,
3106,2026-05-29,
3107,2026-05-29,
3109,2026-05-29,
3110,2026-05-29,
3116,2026-05-29,
3132,2026-05-29,
3134,2026-05-29,
3139,2026-05-29,
3148,2026-05-29,
3150,2026-05-29,
3151,2026-05-29,
3153,2026-05-29,
3154,2026-05-29,
3156,2026-05-29,
3167,2026-05-29,
3176,2026-05-29,
3179,2026-05-29,
3180,2026-05-29,
3182,2026-05-29,
3183,2026-05-29,
3186,2026-05-29,
3191,2026-05-29,
3193,2026-05-29,
3196,2026-05-29,
3197,2026-05-29,
3198,2026-05-29,
3199,2026-05-29,
3201,2026-05-29,
3221,2026-05-29,
3222,2026-05-29,
3231,2026-05-29,
3232,2026-05-29,
3245,2026-05-29,
3252,2026-05-29,
3267,2026-05-29,
3276,2026-05-29,
3284,2026-05-29,
3288,2026-05-29,
3289,2026-05-29,
3291,2026-05-29,
3302,2026-05-29,
3315,2026-05-29,
3333,2026-05-29,
3349,2026-05-29,
3360,2026-05-29,
3371,2026-05-29,
3382,2026-05-29,
3387,2026-05-29,
3388,2026-05-29,
3391,2026-05-29,
3395,2026-05-29,
3397,2026-05-29,
3401,2026-05-29,
3402,2026-05-29,
3405,2026-05-29,
3407,2026-05-29,
3415,2026-05-29,
3421,2026-05-29,
3431,2026-05-29,
3433,2026-05-29,
3436,2026-05-29,
3443,2026-05-29,
3445,2026-05-29,
3457,2026-05-29,
3465,2026-05-29,
3475,2026-05-29,
3480,2026-05-29,
3482,2026-05-29,
3496,2026-05-29,
3498,2026-05-29,
3539,2026-05-29,
3543,2026-05-29,
3546,2026-05-29,
3547,2026-05-29,
3548,2026-05-29,
3549,2026-05-29,
3561,2026-05-29,
3563,2026-05-29,
3565,2026-05-29,
3569,2026-05-29,
3580,2026-05-29,
3591,2026-05-29,
3608,2026-05-29,
3612,2026-05-29,
3626,2026-05-29,
3632,2026-05-29,
3633,2026-05-29,
3635,2026-05-29,
3636,2026-05-29,
3649,2026-05-29,
3656,2026-05-29,
3657,2026-05-29,
3659,2026-05-29,
3660,2026-05-29,
3661,2026-05-29,
3662,2026-05-29,
3663,2026-05-29,
3665,2026-05-29,
3668,2026-05-29,
3673,2026-05-29,
3676,2026-05-29,
3678,2026-05-29,
3679,2026-05-29,
3687,2026-05-29,
368A,2026-05-29,
3694,2026-05-29,
3696,2026-05-29,
3697,2026-05-29,
3708,2026-05-29,
3741,2026-05-29,
3762,2026-05-29,
3763,2026-05-29,
3765,2026-05-29,
3769,2026-05-29,
3771,2026-05-29,
3774,2026-05-29,
3778,2026-05-29,
3788,2026-05-29,
3817,2026-05-29,
3834,2026-05-29,
3835,2026-05-29,
3836,2026-05-29,
3837,2026-05-29,
3843,2026-05-29,
3844,2026-05-29,
3853,2026-05-29,
3854,2026-05-29,
3861,2026-05-29,
3863,2026-05-29,
3865,2026-05-29,
3880,2026-05-29,
3901,2026-05-29,
3903,2026-05-29,
3915,2026-05-29,
3916,2026-05-29,
3921,2026-05-29,
3922,2026-05-29,
3923,2026-05-29,
3925,2026-05-29,
3926,2026-05-29,
3932,2026-05-29,
3937,2026-05-29,
3939,2026-05-29,
3941,2026-05-29,
3946,2026-05-29,
3950,2026-05-29,
3962,2026-05-29,
3964,2026-05-29,
3983,2026-05-29,
3984,2026-05-29,
3993,2026-05-29,
3994,2026-05-29,
4004,2026-05-29,
4005,2026-05-29,
4008,2026-05-29,
4021,2026-05-29,
4022,2026-05-29,
4023,2026-05-29,
4025,2026-05-29,
4027,2026-05-29,
4028,2026-05-29,
4041,2026-05-29,
4042,2026-05-29,
4043,2026-05-29,
4044,2026-05-29,
4045,2026-05-29,
4046,2026-05-29,
4047,2026-05-29,
4051,2026-05-29,
4053,2026-05-29,
4061,2026-05-29,
4062,2026-05-29,
4063,2026-05-29,
4064,2026-05-29,
4071,2026-05-29,
4072,2026-05-29,
4078,2026-05-29,
4082,2026-05-29,
4091,2026-05-29,
4092,2026-05-29,
4095,2026-05-29,
4097,2026-05-29,
4099,2026-05-29,
409A,2026-05-29,
4100,2026-05-29,
4109,2026-05-29,
4112,2026-05-29,
4114,2026-05-29,
4116,2026-05-29,
4118,2026-05-29,
4151,2026-05-29,
417A,2026-05-29,
4180,2026-05-29,
4182,2026-05-29,
4183,2026-05-29,
4186,2026-05-29,
4187,2026-05-29,
4188,2026-05-29,
4189,2026-05-29,
4194,2026-05-29,
4202,2026-05-29,
4203,2026-05-29,
4204,2026-05-29,
4205,2026-05-29,
4206,2026-05-29,
4208,2026-05-29,
4212,2026-05-29,
4216,2026-05-29,
4218,2026-05-29,
4220,2026-05-29,
4221,2026-05-29,
4228,2026-05-29,
4229,2026-05-29,
4246,2026-05-29,
4249,2026-05-29,
4251,2026-05-29,
4272,2026-05-29,
4275,2026-05-29,
4286,2026-05-29,
4290,2026-05-29,
4299,2026-05-29,
429A,2026-05-29,
4301,2026-05-29,
