日付,銘柄名,コード,業種,TOPIXに占める個別銘柄のウエイト,ニューインデックス区分
20260529,極洋,1301,水産・農林業,0.0047%,TOPIX Small 1
20260529,ニッスイ,1332,水産・農林業,0.0308%,TOPIX Mid400
20260529,Ｕｍｉｏｓ,1333,水産・農林業,0.0156%,TOPIX Mid400
20260529,ユキグニファクトリー,1375,水産・農林業,0.0023%,TOPIX Small 2
20260529,カネコ種苗,1376,水産・農林業,0.0010%,TOPIX Small 2
20260529,サカタのタネ,1377,水産・農林業,0.0127%,TOPIX Small 1
20260529,ホクト,1379,水産・農林業,0.0041%,TOPIX Small 2
20260529,ショーボンドホールディングス,1414,建設業,0.0188%,TOPIX Mid400
20260529,ミライト・ワン,1417,建設業,0.0340%,TOPIX Mid400
20260529,タマホーム,1419,建設業,0.0049%,TOPIX Small 1
20260529,ｒｏｂｏｔ　ｈｏｍｅ,1435,不動産業,0.0008%,TOPIX Small 2
20260529,住石ホールディングス,1514,鉱業,0.0013%,TOPIX Small 2
20260529,日鉄鉱業,1515,鉱業,0.0117%,TOPIX Small 1
20260529,三井松島ホールディングス,1518,その他製品,0.0045%,TOPIX Small 1
20260529,ＩＮＰＥＸ,1605,鉱業,0.3065%,TOPIX Mid400
20260529,石油資源開発,1662,鉱業,0.0280%,TOPIX Small 1
20260529,Ｋ＆Ｏエナジーグループ,1663,鉱業,0.0047%,TOPIX Small 1
20260529,リョーサン菱洋ホールディングス,167A,卸売業,0.0105%,TOPIX Small 1
20260529,第一カッター興業,1716,建設業,0.0009%,TOPIX Small 2
20260529,安藤・間,1719,建設業,0.0242%,TOPIX Mid400
20260529,東急建設,1720,建設業,0.0094%,TOPIX Small 1
20260529,コムシスホールディングス,1721,建設業,0.0433%,TOPIX Mid400
20260529,高松コンストラクショングループ,1762,建設業,0.0068%,TOPIX Small 2
20260529,東建コーポレーション,1766,建設業,0.0070%,TOPIX Small 1
20260529,ヤマウラ,1780,建設業,0.0020%,TOPIX Small 2
20260529,オリエンタル白石,1786,建設業,0.0030%,TOPIX Small 2
20260529,大成建設,1801,建設業,0.1853%,TOPIX Mid400
20260529,大林組,1802,建設業,0.1820%,TOPIX Mid400
20260529,清水建設,1803,建設業,0.1298%,TOPIX Mid400
20260529,長谷工コーポレーション,1808,建設業,0.0429%,TOPIX Mid400
20260529,松井建設,1810,建設業,0.0020%,TOPIX Small 2
20260529,鹿島建設,1812,建設業,0.2320%,TOPIX Mid400
20260529,不動テトラ,1813,建設業,0.0027%,TOPIX Small 2
20260529,鉄建建設,1815,建設業,0.0051%,TOPIX Small 2
20260529,西松建設,1820,建設業,0.0153%,TOPIX Mid400
20260529,大豊建設,1822,建設業,0.0018%,TOPIX Small 2
20260529,奥村組,1833,建設業,0.0161%,TOPIX Small 1
20260529,東鉄工業,1835,建設業,0.0083%,TOPIX Small 1
20260529,淺沼組,1852,建設業,0.0057%,TOPIX Small 1
20260529,戸田建設,1860,建設業,0.0334%,TOPIX Mid400
20260529,熊谷組,1861,建設業,0.0151%,TOPIX Small 1
20260529,矢作建設工業,1870,建設業,0.0062%,TOPIX Small 1
20260529,ピーエス・コンストラクション,1871,建設業,0.0035%,TOPIX Small 2
20260529,日本ハウスホールディングス,1873,建設業,0.0011%,TOPIX Small 2
20260529,大東建託,1878,不動産業,0.0960%,TOPIX Mid400
20260529,新日本建設,1879,建設業,0.0056%,TOPIX Small 2
20260529,東亜道路工業,1882,建設業,0.0041%,TOPIX Small 1
20260529,東亜建設工業,1885,建設業,0.0153%,TOPIX Small 1
20260529,日本国土開発,1887,建設業,0.0029%,TOPIX Small 2
20260529,若築建設,1888,建設業,0.0018%,TOPIX Small 2
20260529,五洋建設,1893,建設業,0.0447%,TOPIX Mid400
20260529,世紀東急工業,1898,建設業,0.0040%,TOPIX Small 1
20260529,福田組,1899,建設業,0.0045%,TOPIX Small 2
20260529,住友林業,1911,建設業,0.0600%,TOPIX Mid400
20260529,大和ハウス工業,1925,建設業,0.2124%,TOPIX Large70
20260529,ライト工業,1926,建設業,0.0130%,TOPIX Small 1
20260529,積水ハウス,1928,建設業,0.1770%,TOPIX Large70
20260529,日特建設,1929,建設業,0.0019%,TOPIX Small 2
20260529,北陸電気工事,1930,建設業,0.0017%,TOPIX Small 2
20260529,ユアテック,1934,建設業,0.0090%,TOPIX Small 1
20260529,日本リーテック,1938,建設業,0.0038%,TOPIX Small 2
20260529,四電工,1939,建設業,0.0043%,TOPIX Small 2
20260529,中電工,1941,建設業,0.0115%,TOPIX Small 1
20260529,関電工,1942,建設業,0.0635%,TOPIX Mid400
20260529,きんでん,1944,建設業,0.0873%,TOPIX Mid400
20260529,東京エネシス,1945,建設業,0.0038%,TOPIX Small 2
20260529,トーエネック,1946,建設業,0.0078%,TOPIX Small 2
20260529,日本電設工業,1950,建設業,0.0150%,TOPIX Small 1
20260529,エクシオグループ,1951,建設業,0.0474%,TOPIX Mid400
20260529,新日本空調,1952,建設業,0.0079%,TOPIX Small 1
20260529,クラフティア,1959,建設業,0.0357%,TOPIX Mid400
20260529,三機工業,1961,建設業,0.0252%,TOPIX Small 1
20260529,日揮ホールディングス,1963,建設業,0.0495%,TOPIX Mid400
20260529,中外炉工業,1964,建設業,0.0020%,TOPIX Small 2
20260529,太平電業,1968,建設業,0.0097%,TOPIX Small 1
20260529,高砂熱学工業,1969,建設業,0.0449%,TOPIX Mid400
20260529,朝日工業社,1975,建設業,0.0073%,TOPIX Small 1
20260529,明星工業,1976,建設業,0.0052%,TOPIX Small 2
20260529,大氣社,1979,建設業,0.0192%,TOPIX Small 1
20260529,ダイダン,1980,建設業,0.0272%,TOPIX Small 1
20260529,日比谷総合設備,1982,建設業,0.0074%,TOPIX Small 2
20260529,ニップン,2001,食料品,0.0168%,TOPIX Small 1
20260529,日清製粉グループ本社,2002,食料品,0.0337%,TOPIX Mid400
20260529,日東富士製粉,2003,食料品,0.0022%,TOPIX Small 2
20260529,昭和産業,2004,食料品,0.0048%,TOPIX Small 2
20260529,中部飼料,2053,食料品,0.0038%,TOPIX Small 2
20260529,フィード・ワン,2060,食料品,0.0028%,TOPIX Small 2
20260529,日本甜菜製糖,2108,食料品,0.0033%,TOPIX Small 2
20260529,ＤＭ三井製糖,2109,食料品,0.0048%,TOPIX Small 1
20260529,ウェルネオシュガー,2117,食料品,0.0026%,TOPIX Small 2
20260529,ＬＩＦＵＬＬ,2120,サービス業,0.0012%,TOPIX Small 2
20260529,ＭＩＸＩ,2121,情報・通信業,0.0089%,TOPIX Small 1
20260529,ジェイエイシーリクルートメント,2124,サービス業,0.0057%,TOPIX Small 1
20260529,日本Ｍ＆Ａセンターホールディングス,2127,サービス業,0.0193%,TOPIX Mid400
20260529,フィットイージー,212A,サービス業,0.0013%,TOPIX Small 2
20260529,メンバーズ,2130,サービス業,0.0007%,TOPIX Small 2
20260529,ＵＴグループ,2146,サービス業,0.0065%,TOPIX Small 1
20260529,アイティメディア,2148,サービス業,0.0012%,TOPIX Small 2
20260529,Ｅ・Ｊホールディングス,2153,サービス業,0.0022%,TOPIX Small 2
20260529,オープンアップグループ,2154,サービス業,0.0102%,TOPIX Small 1
20260529,コシダカホールディングス,2157,サービス業,0.0049%,TOPIX Small 1
20260529,パソナグループ,2168,サービス業,0.0031%,TOPIX Small 1
20260529,リンクアンドモチベーション,2170,サービス業,0.0025%,TOPIX Small 2
20260529,エス・エム・エス,2175,サービス業,0.0142%,TOPIX Small 1
20260529,パーソルホールディングス,2181,サービス業,0.0410%,TOPIX Mid400
20260529,クックパッド,2193,サービス業,0.0003%,TOPIX Small 2
20260529,森永製菓,2201,食料品,0.0174%,TOPIX Mid400
20260529,中村屋,2204,食料品,0.0014%,TOPIX Small 2
20260529,江崎グリコ,2206,食料品,0.0277%,TOPIX Mid400
20260529,ｍｅｉｔｏ,2207,食料品,0.0023%,TOPIX Small 2
20260529,井村屋グループ,2209,食料品,0.0022%,TOPIX Small 2
20260529,不二家,2211,食料品,0.0029%,TOPIX Small 2
20260529,山崎製パン,2212,食料品,0.0373%,TOPIX Mid400
20260529,モロゾフ,2217,食料品,0.0025%,TOPIX Small 2
20260529,亀田製菓,2220,食料品,0.0042%,TOPIX Small 1
20260529,寿スピリッツ,2222,食料品,0.0197%,TOPIX Mid400
20260529,カルビー,2229,食料品,0.0236%,TOPIX Mid400
20260529,森永乳業,2264,食料品,0.0312%,TOPIX Mid400
20260529,六甲バター,2266,食料品,0.0016%,TOPIX Small 2
20260529,ヤクルト本社,2267,食料品,0.0614%,TOPIX Mid400
20260529,明治ホールディングス,2269,食料品,0.0934%,TOPIX Mid400
20260529,雪印メグミルク,2270,食料品,0.0151%,TOPIX Small 1
20260529,プリマハム,2281,食料品,0.0058%,TOPIX Small 1
20260529,日本ハム,2282,食料品,0.0389%,TOPIX Mid400
20260529,丸大食品,2288,食料品,0.0041%,TOPIX Small 2
20260529,Ｓ　Ｆｏｏｄｓ,2292,食料品,0.0053%,TOPIX Small 1
20260529,柿安本店,2294,食料品,0.0018%,TOPIX Small 2
20260529,伊藤ハム米久ホールディングス,2296,食料品,0.0152%,TOPIX Small 1
20260529,学情,2301,サービス業,0.0013%,TOPIX Small 2
20260529,スタジオアリス,2305,サービス業,0.0017%,TOPIX Small 2
20260529,クロスキャット,2307,情報・通信業,0.0010%,TOPIX Small 2
20260529,システナ,2317,情報・通信業,0.0108%,TOPIX Small 1
20260529,ＮＪＳ,2325,サービス業,0.0027%,TOPIX Small 2
20260529,デジタルアーツ,2326,情報・通信業,0.0038%,TOPIX Small 1
20260529,日鉄ソリューションズ,2327,情報・通信業,0.0172%,TOPIX Mid400
20260529,ＡＬＳＯＫ,2331,サービス業,0.0349%,TOPIX Mid400
20260529,キューブシステム,2335,情報・通信業,0.0011%,TOPIX Small 2
20260529,いちご,2337,不動産業,0.0063%,TOPIX Small 1
20260529,日本駐車場開発,2353,不動産業,0.0052%,TOPIX Small 1
20260529,コア,2359,情報・通信業,0.0016%,TOPIX Small 2
20260529,カカクコム,2371,サービス業,0.0402%,TOPIX Mid400
20260529,ルネサンス,2378,サービス業,0.0014%,TOPIX Small 2
20260529,ディップ,2379,サービス業,0.0057%,TOPIX Small 1
20260529,ＳＢＳホールディングス,2384,陸運業,0.0079%,TOPIX Small 1
20260529,新日本科学,2395,サービス業,0.0024%,TOPIX Small 2
20260529,エムスリー,2413,サービス業,0.0523%,TOPIX Mid400
20260529,ワールドホールディングス,2429,サービス業,0.0021%,TOPIX Small 2
20260529,ディー・エヌ・エー,2432,情報・通信業,0.0198%,TOPIX Mid400
20260529,博報堂ＤＹホールディングス,2433,サービス業,0.0248%,TOPIX Mid400
20260529,ぐるなび,2440,サービス業,0.0004%,TOPIX Small 2
20260529,タカミヤ,2445,サービス業,0.0010%,TOPIX Small 2
20260529,ファンコミュニケーションズ,2461,サービス業,0.0011%,TOPIX Small 2
20260529,ライク,2462,サービス業,0.0014%,TOPIX Small 2
20260529,エスプール,2471,サービス業,0.0011%,TOPIX Small 2
20260529,ＷＤＢホールディングス,2475,サービス業,0.0015%,TOPIX Small 2
20260529,手間いらず,2477,情報・通信業,0.0005%,TOPIX Small 2
20260529,アドウェイズ,2489,サービス業,0.0005%,TOPIX Small 2
20260529,バリューコマース,2491,サービス業,0.0008%,TOPIX Small 2
20260529,インフォマート,2492,サービス業,0.0069%,TOPIX Small 1
20260529,サッポロホールディングス,2501,食料品,0.0424%,TOPIX Mid400
20260529,アサヒグループホールディングス,2502,食料品,0.2035%,TOPIX Large70
20260529,キリンホールディングス,2503,食料品,0.1798%,TOPIX Large70
20260529,シマダヤ,250A,食料品,0.0013%,TOPIX Small 2
20260529,宝ホールディングス,2531,食料品,0.0326%,TOPIX Mid400
20260529,オエノンホールディングス,2533,食料品,0.0026%,TOPIX Small 2
20260529,養命酒製造,2540,食料品,0.0010%,TOPIX Small 2
20260529,飛島ホールディングス,256A,建設業,0.0036%,TOPIX Small 2
20260529,コカ・コーラ　ボトラーズジャパンホールディングス,2579,食料品,0.0409%,TOPIX Mid400
20260529,ライフドリンク　カンパニー,2585,食料品,0.0055%,TOPIX Small 1
20260529,サントリービバレッジ＆フード,2587,食料品,0.0542%,TOPIX Mid400
20260529,ダイドーグループホールディングス,2590,食料品,0.0054%,TOPIX Small 1
20260529,伊藤園,2593,食料品,0.0173%,TOPIX Mid400
20260529,キーコーヒー,2594,食料品,0.0039%,TOPIX Small 2
20260529,日清オイリオグループ,2602,食料品,0.0124%,TOPIX Small 1
20260529,不二製油,2607,食料品,0.0125%,TOPIX Mid400
20260529,Ｊ－オイルミルズ,2613,食料品,0.0040%,TOPIX Small 2
20260529,インターメスティック,262A,小売業,0.0015%,TOPIX Small 2
20260529,サンエー,2659,小売業,0.0134%,TOPIX Small 1
20260529,カワチ薬品,2664,小売業,0.0049%,TOPIX Small 1
20260529,エービーシー・マート,2670,小売業,0.0264%,TOPIX Mid400
20260529,ハードオフコーポレーション,2674,小売業,0.0018%,TOPIX Small 2
20260529,高千穂交易,2676,卸売業,0.0031%,TOPIX Small 2
20260529,アスクル,2678,小売業,0.0043%,TOPIX Small 1
20260529,ゲオホールディングス,2681,小売業,0.0046%,TOPIX Small 1
20260529,アンドエスティＨＤ,2685,小売業,0.0086%,TOPIX Small 1
20260529,リガク・ホールディングス,268A,精密機器,0.0301%,TOPIX Small 1
20260529,くら寿司,2695,小売業,0.0073%,TOPIX Small 1
20260529,キャンドゥ,2698,小売業,0.0022%,TOPIX Small 2
20260529,パルグループホールディングス,2726,小売業,0.0104%,TOPIX Small 1
20260529,エディオン,2730,小売業,0.0215%,TOPIX Small 1
20260529,あらた,2733,卸売業,0.0076%,TOPIX Small 1
20260529,サーラコーポレーション,2734,小売業,0.0039%,TOPIX Small 2
20260529,トーメンデバイス,2737,卸売業,0.0039%,TOPIX Small 2
20260529,ハローズ,2742,小売業,0.0033%,TOPIX Small 2
20260529,ＪＰホールディングス,2749,サービス業,0.0029%,TOPIX Small 1
20260529,フジオフードグループ本社,2752,小売業,0.0036%,TOPIX Small 1
20260529,あみやき亭,2753,小売業,0.0018%,TOPIX Small 2
20260529,東京エレクトロン　デバイス,2760,卸売業,0.0077%,TOPIX Small 1
20260529,円谷フィールズホールディングス,2767,卸売業,0.0049%,TOPIX Small 1
20260529,双日,2768,卸売業,0.0994%,TOPIX Mid400
20260529,グロービング,277A,サービス業,0.0015%,TOPIX Small 2
20260529,アルフレッサ　ホールディングス,2784,卸売業,0.0404%,TOPIX Mid400
20260529,大黒天物産,2791,小売業,0.0029%,TOPIX Small 1
20260529,ハニーズホールディングス,2792,小売業,0.0024%,TOPIX Small 2
20260529,キッコーマン,2801,食料品,0.0821%,TOPIX Mid400
20260529,味の素,2802,食料品,0.4423%,TOPIX Large70
20260529,ブルドックソース,2804,食料品,0.0015%,TOPIX Small 2
20260529,キユーピー,2809,食料品,0.0385%,TOPIX Mid400
20260529,ハウス食品グループ本社,2810,食料品,0.0227%,TOPIX Mid400
20260529,カゴメ,2811,食料品,0.0238%,TOPIX Mid400
20260529,アリアケジャパン,2815,食料品,0.0106%,TOPIX Small 1
