date,entry_date,side,z,entry_premium,exit_premium,gross,net
2019-08-20,2019-08-13,SHORT,0.6632514960236541,895.0,715.0,0.2011173184357542,0.2011173184357542
2019-09-02,2019-08-26,SHORT,1.1388953728942808,1020.0,865.0,0.15196078431372548,0.15196078431372548
2019-09-17,2019-09-09,LONG,-0.7080580147602968,685.0,875.0,0.2773722627737226,0.2773722627737226
2019-10-07,2019-09-30,SHORT,1.145869912253016,860.0,840.0,0.023255813953488372,0.023255813953488372
2019-11-25,2019-11-18,SHORT,0.6136478596938862,610.0,535.0,0.12295081967213115,0.12295081967213115
2019-12-16,2019-12-09,SHORT,0.6858761434601593,760.0,810.0,-0.06578947368421052,-0.06578947368421052
2020-01-14,2020-01-06,SHORT,0.6947903807348793,925.0,1040.0,-0.12432432432432433,-0.12432432432432433
2020-01-27,2020-01-20,LONG,-1.2910292801864287,580.0,941.0,0.6224137931034482,0.6224137931034482
2020-02-18,2020-02-10,LONG,-0.6310849717949061,865.0,745.0,-0.13872832369942195,-0.13872832369942195
2020-03-03,2020-02-25,SHORT,1.2801029357312061,1340.0,1965.0,-0.4664179104477612,-0.4664179104477612
2020-03-16,2020-03-09,SHORT,5.485449884639646,2125.0,3425.0,-0.611764705882353,-0.611764705882353
2020-04-20,2020-04-13,LONG,-2.695896772826517,1550.0,1395.0,-0.1,-0.1
2020-05-08,2020-04-27,LONG,-0.6305574191867744,1700.0,1430.0,-0.1588235294117647,-0.1588235294117647
2020-05-18,2020-05-11,LONG,-0.8556449589894256,1165.0,1060.0,-0.09012875536480687,-0.09012875536480687
2020-06-22,2020-06-15,SHORT,1.5529961580735387,1580.0,1435.0,0.09177215189873418,0.09177215189873418
2020-07-13,2020-07-06,LONG,-0.9540100521740911,1150.0,1040.0,-0.09565217391304348,-0.09565217391304348
2020-09-14,2020-09-07,SHORT,0.6038595341305315,1120.0,905.0,0.19196428571428573,0.19196428571428573
2020-10-05,2020-09-28,SHORT,0.8718772852902875,1455.0,1345.0,0.07560137457044673,0.07560137457044673
2020-10-26,2020-10-19,SHORT,0.6125933086464362,845.0,765.0,0.09467455621301775,0.09467455621301775
2020-11-10,2020-11-02,SHORT,1.3224815031869064,1385.0,1980.0,-0.4296028880866426,-0.4296028880866426
2021-01-06,2020-12-28,SHORT,0.6359064854526502,1305.0,1430.0,-0.09578544061302682,-0.09578544061302682
2021-03-08,2021-03-01,LONG,-0.5414325906635102,1640.0,1730.0,0.054878048780487805,0.054878048780487805
2021-03-22,2021-03-15,LONG,-0.6915414812860295,1150.0,1175.0,0.021739130434782608,0.021739130434782608
2021-05-17,2021-05-10,LONG,-0.6192139429260078,1085.0,1903.0,0.7539170506912443,0.7539170506912443
2021-05-31,2021-05-24,LONG,-1.5545484564515195,1575.0,1420.0,-0.09841269841269841,-0.09841269841269841
2021-06-14,2021-06-07,LONG,-1.3884096382713664,1215.0,895.0,-0.26337448559670784,-0.26337448559670784
2021-07-05,2021-06-28,LONG,-1.0815886993612607,1225.0,1120.0,-0.08571428571428572,-0.08571428571428572
2021-07-19,2021-07-12,LONG,-0.9311896142197332,1040.0,1300.0,0.25,0.25
2021-08-02,2021-07-26,SHORT,1.0357021594741578,1490.0,1340.0,0.10067114093959731,0.10067114093959731
2021-09-13,2021-09-06,SHORT,0.5033215648306266,1270.0,1365.0,-0.07480314960629922,-0.07480314960629922
2021-10-25,2021-10-18,LONG,-1.4126192781847777,1105.0,895.0,-0.19004524886877827,-0.19004524886877827
2021-11-09,2021-11-01,LONG,-0.61626077303982,1385.0,1175.0,-0.15162454873646208,-0.15162454873646208
2021-12-06,2021-11-29,SHORT,1.8087320640301707,1820.0,1610.0,0.11538461538461539,0.11538461538461539
2022-01-24,2022-01-17,LONG,-0.9009056318965223,1070.0,1220.0,0.14018691588785046,0.14018691588785046
2022-02-21,2022-02-14,SHORT,0.723875170997859,1390.0,1170.0,0.15827338129496402,0.15827338129496402
2022-03-14,2022-03-07,SHORT,2.6766287837798677,1835.0,1635.0,0.10899182561307902,0.10899182561307902
2022-04-04,2022-03-28,LONG,-1.9194391816685232,1780.0,1435.0,-0.19382022471910113,-0.19382022471910113
2022-05-06,2022-04-25,SHORT,1.7975297925931033,1760.0,1830.0,-0.03977272727272727,-0.03977272727272727
2022-05-16,2022-05-09,SHORT,1.9851201143613864,1710.0,1395.0,0.18421052631578946,0.18421052631578946
2022-06-13,2022-06-06,LONG,-0.7079861205730904,1200.0,1465.0,0.22083333333333333,0.22083333333333333
2022-09-05,2022-08-29,SHORT,0.7446620265632455,1475.0,1315.0,0.10847457627118644,0.10847457627118644
2022-10-03,2022-09-26,SHORT,0.6600046191013464,1670.0,1605.0,0.038922155688622756,0.038922155688622756
2022-10-24,2022-10-17,LONG,-0.9507296588012271,1305.0,1125.0,-0.13793103448275862,-0.13793103448275862
