entry_date,date,side,z,width,entry_spread,exit_spread,gross
2019-08-05,2019-08-13,BUY,-1.4750992858453493,2125.0,167.0,193.0,0.01223529411764706
2019-08-26,2019-09-02,SELL,1.1381509010240232,2000.0,208.0,115.0,0.0465
2019-09-17,2019-09-25,SELL,0.9300489146358808,2125.0,76.0,63.0,0.00611764705882353
2019-09-30,2019-10-07,BUY,-1.117863858668654,2250.0,140.0,196.0,0.024888888888888887
2019-10-28,2019-11-05,SELL,0.5830289985159731,2375.0,124.0,58.0,0.027789473684210527
2019-11-18,2019-11-25,SELL,1.3094684519754487,2375.0,53.0,44.0,0.003789473684210526
2019-12-02,2019-12-09,BUY,-0.524982842211877,2375.0,90.0,108.0,0.007578947368421052
2019-12-16,2019-12-23,SELL,1.2568456466406008,2375.0,41.0,35.0,0.0025263157894736842
2020-01-06,2020-01-14,BUY,-1.1585074881631818,2250.0,142.0,24.0,-0.052444444444444446
2020-01-27,2020-02-03,SELL,1.6844861297234073,2375.0,182.0,239.0,-0.024
2020-02-10,2020-02-18,SELL,0.7833278843006705,2250.0,120.0,149.0,-0.012888888888888889
2020-02-25,2020-03-03,SELL,0.5960091433601461,2250.0,259.0,720.0,-0.2048888888888889
2020-03-09,2020-03-16,SELL,1.1973520100966237,2000.0,480.0,1050.0,-0.285
2020-03-23,2020-03-30,SELL,2.0621003444636523,2000.0,540.0,250.0,0.145
2020-04-13,2020-04-20,SELL,1.782567502229608,2000.0,310.0,144.0,0.083
2020-04-27,2020-05-08,SELL,2.493523837693954,1875.0,305.0,177.0,0.06826666666666667
2020-05-11,2020-05-18,SELL,0.6816272327417912,2000.0,190.0,226.0,-0.018
2020-05-25,2020-06-01,SELL,2.5672477589494243,2125.0,250.0,104.0,0.06870588235294117
2020-06-08,2020-06-15,SELL,1.1483667211920907,2250.0,196.0,745.0,-0.244
2020-06-29,2020-07-06,SELL,1.8656929049008253,2375.0,330.0,134.0,0.08252631578947368
2020-07-20,2020-07-29,SELL,1.0471295859128205,2375.0,129.0,129.0,-0.0
2020-08-11,2020-08-18,SELL,0.7215451660220795,2375.0,139.0,78.0,0.02568421052631579
2020-08-24,2020-08-31,SELL,1.365023408818613,2375.0,236.0,190.0,0.01936842105263158
2020-09-28,2020-10-05,SELL,1.8158982456279629,2375.0,302.0,276.0,0.010947368421052631
2020-10-19,2020-10-26,SELL,0.5579955095706614,2500.0,118.0,126.0,-0.0032
2020-11-16,2020-11-24,SELL,0.9208893365289469,2625.0,147.0,62.0,0.03238095238095238
2020-11-30,2020-12-07,BUY,-1.1124843235671105,2625.0,197.0,138.0,-0.022476190476190476
2020-12-28,2021-01-06,SELL,2.3994718694816783,2750.0,206.0,177.0,0.010545454545454545
2021-01-18,2021-01-25,SELL,0.55525961490478,2875.0,194.0,49.0,0.050434782608695654
2021-02-01,2021-02-08,BUY,-0.7749511467061898,2625.0,245.0,79.0,-0.06323809523809523
2021-02-22,2021-03-02,SELL,2.2296403374912788,3000.0,360.0,455.0,-0.03166666666666667
2021-03-08,2021-03-15,BUY,-0.8167480723714,2750.0,271.0,93.0,-0.06472727272727273
2021-03-29,2021-04-05,SELL,0.9706787596293756,2875.0,295.0,133.0,0.05634782608695652
2021-04-12,2021-04-19,BUY,-1.4786497589655958,3000.0,129.0,84.0,-0.015
2021-05-06,2021-05-13,BUY,-1.021857389974067,2750.0,160.0,655.0,0.18
2021-05-17,2021-05-24,BUY,-0.9906038954826931,2625.0,209.0,87.0,-0.046476190476190476
2021-05-31,2021-06-07,BUY,-1.404665335672361,2875.0,201.0,145.0,-0.019478260869565216
2021-06-14,2021-06-21,SELL,1.0460017516766462,3000.0,101.0,424.0,-0.10766666666666666
2021-06-28,2021-07-05,SELL,1.5479722573184371,2875.0,197.0,235.0,-0.013217391304347827
2021-07-12,2021-07-19,BUY,-0.9017960123520539,2875.0,148.0,345.0,0.06852173913043479
2021-07-26,2021-08-02,BUY,-0.7257674688912812,2750.0,265.0,242.0,-0.008363636363636363
2021-08-10,2021-08-17,BUY,-1.2412327098011393,2750.0,164.0,216.0,0.01890909090909091
2021-08-30,2021-09-06,BUY,-0.9499710247854839,2875.0,217.0,46.0,-0.059478260869565217
2021-09-13,2021-09-21,SELL,0.6341748394746043,3000.0,159.0,268.0,-0.036333333333333336
2021-09-27,2021-10-04,SELL,2.654151339825342,3000.0,295.0,840.0,-0.18166666666666667
2021-10-11,2021-10-18,BUY,-1.0641562662734534,2875.0,237.0,111.0,-0.04382608695652174
2021-10-25,2021-11-01,SELL,1.0231667841819096,3000.0,264.0,120.0,0.048
2021-11-29,2021-12-06,SELL,0.6001069390517312,2875.0,355.0,400.0,-0.01565217391304348
2021-12-13,2021-12-20,BUY,-1.2341780236959001,3000.0,192.0,368.0,0.058666666666666666
2021-12-27,2022-01-05,SELL,0.7277487038989767,2750.0,239.0,113.0,0.04581818181818182
2022-01-31,2022-02-07,BUY,-0.6040957736379862,2750.0,300.0,223.0,-0.028
2022-02-14,2022-02-21,SELL,0.5445215357832478,2750.0,261.0,232.0,0.010545454545454545
2022-02-28,2022-03-07,BUY,-0.8616148844350938,2750.0,395.0,730.0,0.12181818181818181
2022-03-14,2022-03-22,SELL,0.7694124671587544,2000.0,320.0,35.0,0.1425
2022-03-28,2022-04-04,SELL,2.955238387818432,2875.0,370.0,259.0,0.03860869565217391
2022-04-11,2022-04-18,BUY,-2.0770360836490025,2750.0,233.0,200.0,-0.012
2022-05-02,2022-05-12,BUY,-1.2673760552094362,2750.0,270.0,555.0,0.10363636363636364
2022-05-16,2022-05-23,BUY,-1.4933648076348969,2750.0,252.0,99.0,-0.05563636363636364
2022-05-30,2022-06-06,BUY,-2.1753109163171374,2750.0,220.0,112.0,-0.03927272727272727
2022-06-13,2022-06-20,BUY,-0.7141079387478199,2625.0,240.0,438.0,0.07542857142857143
2022-07-04,2022-07-11,BUY,-1.9621724070231266,2500.0,255.0,130.0,-0.05
2022-07-19,2022-07-26,BUY,-0.6957936418476924,2625.0,156.0,35.0,-0.04609523809523809
2022-08-01,2022-08-08,BUY,-1.4458514522257024,2875.0,199.0,129.0,-0.02434782608695652
2022-08-15,2022-08-22,SELL,1.1390695001979279,3000.0,120.0,99.0,0.007
2022-08-29,2022-09-05,SELL,3.2054667716476417,2750.0,286.0,288.0,-0.0007272727272727272
2022-09-12,2022-09-20,BUY,-0.6920906286051444,2875.0,202.0,379.0,0.06156521739130435
2022-09-26,2022-10-03,BUY,-0.6692537358267998,2500.0,335.0,310.0,-0.01
2022-10-31,2022-11-08,BUY,-1.0827249934979502,2750.0,261.0,132.0,-0.04690909090909091
2022-11-14,2022-11-21,SELL,1.359068240518762,2875.0,128.0,56.0,0.025043478260869566
2022-11-28,2022-12-05,SELL,2.3571613196870658,2750.0,212.0,240.0,-0.010181818181818183
2022-12-19,2022-12-26,SELL,0.64164902196184,2625.0,113.0,204.0,-0.034666666666666665
2023-01-04,2023-01-12,BUY,-1.3384606747610992,2625.0,196.0,61.0,-0.05142857142857143
2023-01-23,2023-01-30,SELL,1.7714569288499677,2750.0,176.0,85.0,0.03309090909090909
2023-02-13,2023-02-20,SELL,2.0267001045076287,2750.0,70.0,32.0,0.013818181818181818
2023-02-27,2023-03-06,SELL,2.3297635512551653,2750.0,213.0,81.0,0.048
2023-03-27,2023-04-03,SELL,1.7750303471812348,2750.0,237.0,72.0,0.06
2023-04-17,2023-04-24,SELL,1.6877587037746296,2875.0,81.0,44.0,0.012869565217391304
2023-05-08,2023-05-15,SELL,0.8476989303474052,3000.0,106.0,40.0,0.022
2023-05-29,2023-06-05,SELL,3.74391985604093,3250.0,253.0,112.0,0.04338461538461538
2023-06-12,2023-06-19,BUY,-0.6534942495678688,3125.0,177.0,61.0,-0.03712
2023-06-26,2023-07-03,BUY,-0.5271406326791628,3250.0,276.0,91.0,-0.05692307692307692
2023-07-18,2023-07-25,SELL,0.9073116701868043,3250.0,150.0,71.0,0.024307692307692308
2023-08-28,2023-09-04,SELL,0.6345680543642471,3250.0,245.0,95.0,0.046153846153846156
2023-09-11,2023-09-19,BUY,-1.1022154748520916,3375.0,175.0,48.0,-0.03762962962962963
2023-09-25,2023-10-02,SELL,0.8074639229655226,3250.0,250.0,376.0,-0.03876923076923077
2023-10-10,2023-10-17,BUY,-1.3368549387293491,3250.0,227.0,152.0,-0.023076923076923078
2023-10-23,2023-10-30,BUY,-0.7291777474425094,3250.0,362.0,371.0,0.002769230769230769
2023-11-06,2023-11-13,BUY,-1.7038954219926834,3250.0,184.0,151.0,-0.010153846153846154
2023-11-27,2023-12-04,SELL,2.7824787072662076,3250.0,210.0,210.0,-0.0
2023-12-11,2023-12-18,BUY,-0.965084379923477,3375.0,166.0,122.0,-0.013037037037037036
2023-12-25,2024-01-04,SELL,1.457930866497919,3250.0,201.0,167.0,0.010461538461538461
2024-01-22,2024-01-29,SELL,1.3254873505246936,3500.0,269.0,278.0,-0.0025714285714285713
2024-02-13,2024-02-20,SELL,1.1037831499224218,3875.0,146.0,68.0,0.020129032258064516
2024-02-26,2024-03-04,SELL,1.2794409666159685,4000.0,358.0,173.0,0.04625
2024-03-25,2024-04-01,SELL,1.528904444656762,4250.0,373.0,398.0,-0.0058823529411764705
2024-04-08,2024-04-15,BUY,-0.7295050794502688,4000.0,271.0,245.0,-0.0065
2024-04-30,2024-05-09,SELL,0.5322907631394831,3750.0,330.0,280.0,0.013333333333333334
2024-05-13,2024-05-20,BUY,-0.6749344851427568,3750.0,198.0,44.0,-0.04106666666666667
2024-05-27,2024-06-03,SELL,1.92477528515746,4000.0,255.0,215.0,0.01
2024-06-10,2024-06-17,BUY,-0.926677147505187,3875.0,196.0,323.0,0.0327741935483871
2024-06-24,2024-07-01,SELL,1.1080145670527437,4000.0,286.0,104.0,0.0455
