combo,k,wtype,cost,weights,is_sharpe,oos_sharpe,oos_ann_ret,oos_maxdd,full_sharpe
ml_mag_adaptive+ml_rank_target,2,ew,3.0,"{""ml_mag_adaptive"": 0.5, ""ml_rank_target"": 0.5}",4.494144893867081,6.845458887743229,1.0690748958722756,-0.04289220720182818,5.468693294089272
ml_mag_adaptive+ml_rank_target,2,ew,7.0,"{""ml_mag_adaptive"": 0.5, ""ml_rank_target"": 0.5}",3.0561065410182415,5.55458159084156,0.8674748958722756,-0.04857580511302284,4.1006280651961635
ml_mag_adaptive+ml_rank_target,2,iv,3.0,"{""ml_mag_adaptive"": 0.394, ""ml_rank_target"": 0.606}",4.395691538522948,6.802631423603675,1.017287796241103,-0.04051352111958828,5.39546660526623
ml_mag_adaptive+ml_rank_target,2,iv,7.0,"{""ml_mag_adaptive"": 0.394, ""ml_rank_target"": 0.606}",2.8859148840057767,5.4545266885759975,0.8156877962411031,-0.05064049916382107,3.962938260427114
ml_mag_adaptive+idio_gap_reversal,2,ew,3.0,"{""ml_mag_adaptive"": 0.5, ""idio_gap_reversal"": 0.5}",4.972678853657881,8.324100303901375,0.9638727633577926,-0.027069932645008343,6.353939961101779
ml_mag_adaptive+idio_gap_reversal,2,ew,7.0,"{""ml_mag_adaptive"": 0.5, ""idio_gap_reversal"": 0.5}",2.9969368513237287,6.583062809055609,0.7622727633577927,-0.032526650024458426,4.498074134817312
ml_mag_adaptive+idio_gap_reversal,2,iv,3.0,"{""ml_mag_adaptive"": 0.278, ""idio_gap_reversal"": 0.722}",4.719856706665837,9.121048455145655,0.8086156184294837,-0.018969596486477114,6.529894065156289
ml_mag_adaptive+idio_gap_reversal,2,iv,7.0,"{""ml_mag_adaptive"": 0.278, ""idio_gap_reversal"": 0.722}",2.0961433883173997,6.8470342923611955,0.607015618429484,-0.022695643357415696,4.097780452751546
ml_mag_adaptive+svdn_concentrated,2,ew,3.0,"{""ml_mag_adaptive"": 0.5, ""svdn_concentrated"": 0.5}",5.070038792412274,7.808583238964094,1.0008659417336558,-0.0312541608659761,6.208189819213551
ml_mag_adaptive+svdn_concentrated,2,ew,7.0,"{""ml_mag_adaptive"": 0.5, ""svdn_concentrated"": 0.5}",3.258268340313434,6.23573485304701,0.7992659417336558,-0.04099792675204461,4.514725343578599
ml_mag_adaptive+svdn_concentrated,2,iv,3.0,"{""ml_mag_adaptive"": 0.341, ""svdn_concentrated"": 0.659}",4.92672734743026,7.873129828183876,0.9011407287565485,-0.03178703442901165,6.1589368905276025
ml_mag_adaptive+svdn_concentrated,2,iv,7.0,"{""ml_mag_adaptive"": 0.341, ""svdn_concentrated"": 0.659}",2.850060786421146,6.111781214463994,0.6995407287565484,-0.0418332453902156,4.241750285721117
ml_mag_adaptive+gap_short_hedged,2,ew,3.0,"{""ml_mag_adaptive"": 0.5, ""gap_short_hedged"": 0.5}",4.632804313248145,6.594411022625806,0.898413863454082,-0.03966129236674454,5.433638604826277
ml_mag_adaptive+gap_short_hedged,2,ew,7.0,"{""ml_mag_adaptive"": 0.5, ""gap_short_hedged"": 0.5}",3.452008650082937,5.484594058328724,0.747213863454082,-0.04428461301443298,4.2853266793495965
ml_mag_adaptive+gap_short_hedged,2,iv,3.0,"{""ml_mag_adaptive"": 0.363, ""gap_short_hedged"": 0.637}",4.492840733504716,6.364837513574825,0.7842986565437601,-0.035915656835368126,5.25386861280425
ml_mag_adaptive+gap_short_hedged,2,iv,7.0,"{""ml_mag_adaptive"": 0.363, ""gap_short_hedged"": 0.637}",3.3221944988208336,5.250124426541179,0.6469396156055411,-0.04013089194699915,4.108643482369308
